Restaurant Name,Location,Rating,Votes,Cost for Two,Online Order,Book Table,Restaurant Type,Service Type,Chain Name
Booker and Sons,Whitefield,1.6,72107,2206,Yes,Yes,Casual Dining,Desserts,The Black Pearl
"Oneal, Gentry and Miller",Church Street,3.0,7821,967,Yes,Yes,Dessert Parlor,Desserts,Toit
"Smith, Hernandez and Walter",MG Road,2.2,142863,3636,Yes,No,Dessert Parlor,Cafes,Toit
Mcdonald and Sons,HSR,3.9,89204,2476,Yes,Yes,Cafe,Delivery,The Black Pearl
Beasley Ltd,Jayanagar,1.8,90175,5145,No,Yes,Delivery,Desserts,The Black Pearl
Livingston Group,Jayanagar,1.8,76864,5349,No,Yes,Casual Dining,Delivery,TBC Sky Lounge
"Peck, Evans and Gardner",Koramangala,4.9,61034,1027,No,No,Delivery,Cafes,Biergarten
Swanson-Sullivan,BTM,2.7,69996,5949,Yes,Yes,Dessert Parlor,Dine-out,Biergarten
Miller-Cruz,Marathahalli,2.8,146011,1999,No,Yes,Quick Bites,Delivery,Brew and Barbeque
James-Ho,Jayanagar,2.4,55317,4846,No,Yes,Delivery,Buffet,Truffles
Baird-Graham,HSR,2.4,64661,4798,No,No,Dessert Parlor,Buffet,Brew and Barbeque
Chandler Inc,JP Nagar,5.0,36272,4374,No,Yes,Casual Dining,Delivery,Biergarten
Dunn PLC,HSR,4.3,110676,5085,Yes,No,Delivery,Desserts,Truffles
Rodriguez and Sons,MG Road,2.4,145034,294,Yes,No,Cafe,Delivery,Windmills Craftworks
Melton Group,Jayanagar,2.1,860,2357,Yes,Yes,Cafe,Desserts,Nagarjuna
Barnett Inc,JP Nagar,2.0,42359,4618,Yes,No,Delivery,Delivery,The Black Pearl
Ruiz Ltd,BTM,4.6,80622,2161,Yes,Yes,Dessert Parlor,Delivery,The Black Pearl
Barnett-Hernandez,Marathahalli,4.4,139655,1230,Yes,No,Dessert Parlor,Dine-out,Windmills Craftworks
Myers-Taylor,MG Road,4.6,110933,1935,Yes,No,Delivery,Cafes,Truffles
"Ruiz, Colon and Sanchez",MG Road,3.1,64996,2040,Yes,No,Casual Dining,Desserts,Empire
Smith-Mccarthy,JP Nagar,3.6,1895,781,Yes,Yes,Casual Dining,Delivery,Brew and Barbeque
Walsh Ltd,Whitefield,3.3,73011,5680,No,Yes,Dessert Parlor,Dine-out,Nagarjuna
Shields and Sons,Church Street,3.2,123997,3534,Yes,Yes,Casual Dining,Buffet,Brew and Barbeque
"Perez, Sanford and Torres",Jayanagar,2.9,14210,5716,Yes,Yes,Delivery,Cafes,The Black Pearl
"Carson, Adams and Austin",JP Nagar,2.2,140594,3875,Yes,No,Quick Bites,Cafes,Truffles
Simpson and Sons,JP Nagar,4.6,19771,3830,Yes,Yes,Dessert Parlor,Delivery,The Black Pearl
Adams Group,JP Nagar,2.1,127317,4143,Yes,No,Casual Dining,Dine-out,The Fatty Bao
Brown LLC,Indiranagar,4.9,69531,3927,No,No,Dessert Parlor,Buffet,Biergarten
Gross LLC,JP Nagar,2.5,15341,4944,Yes,No,Casual Dining,Delivery,Nagarjuna
Anderson Group,Marathahalli,3.3,139241,1489,Yes,Yes,Quick Bites,Delivery,Nagarjuna
Gaines-Bishop,Whitefield,3.9,61667,3507,Yes,Yes,Dessert Parlor,Desserts,Toit
Casey-Patel,Church Street,1.8,148180,4482,No,No,Quick Bites,Cafes,TBC Sky Lounge
"Porter, Thompson and Gonzalez",Koramangala,2.9,78652,3945,No,Yes,Casual Dining,Buffet,Nagarjuna
Sexton-Copeland,Church Street,5.0,19214,4604,Yes,No,Quick Bites,Cafes,The Black Pearl
King Group,JP Nagar,2.8,41362,3789,No,Yes,Dessert Parlor,Cafes,The Black Pearl
King Group,HSR,2.4,28068,4732,Yes,No,Cafe,Desserts,TBC Sky Lounge
Kaufman-Schneider,BTM,2.2,69211,4340,No,No,Casual Dining,Delivery,The Fatty Bao
